Transplant Year,Organ,Age Group,N,Graft Survival Rate [95% CI],Patient Survival Rate [95% CI]
1988,Heart/Lung,1-5 Years,1,*,*
1988,Heart/Lung,11-17 Years,6,*,*
1988,Heart/Lung,18-34,31,*,*
1988,Heart/Lung,35-49,26,*,*
1988,Heart/Lung,50-64,6,*,*
1988,Heart/Lung,6-10 Years,3,*,*
1988,Heart,<1 Year,34,"42.97 [25.86, 59.00]","51.70 [33.60, 67.10]"
1988,Heart,1-5 Years,19,"63.16 [37.90, 80.44]","73.31 [47.23, 87.94]"
1988,Heart,11-17 Years,41,"45.90 [30.21, 60.25]","55.22 [38.66, 69.00]"
1988,Heart,18-34,182,"53.57 [45.95, 60.60]","59.27 [51.55, 66.18]"
1988,Heart,35-49,478,"44.38 [39.77, 48.88]","46.78 [42.14, 51.27]"
1988,Heart,50-64,836,"40.63 [37.21, 44.02]","41.40 [37.98, 44.79]"
1988,Heart,6-10 Years,18,*,*
1988,Heart,65+,24,*,*
1989,Heart/Lung,<1 Year,1,*,*
1989,Heart/Lung,1-5 Years,1,*,*
1989,Heart/Lung,11-17 Years,2,*,*
1989,Heart/Lung,18-34,29,*,*
1989,Heart/Lung,35-49,27,*,*
1989,Heart/Lung,50-64,4,*,*
1989,Heart/Lung,6-10 Years,3,*,*
1989,Heart,<1 Year,71,"42.57 [30.50, 54.10]","48.63 [35.85, 60.25]"
1989,Heart,1-5 Years,22,"53.87 [29.82, 72.89]","59.83 [35.26, 77.64]"
1989,Heart,11-17 Years,40,"46.08 [29.96, 60.77]","48.41 [31.94, 63.06]"
1989,Heart,18-34,172,"54.95 [47.00, 62.20]","57.16 [49.29, 64.26]"
1989,Heart,35-49,491,"47.76 [43.14, 52.22]","50.51 [45.89, 54.95]"
1989,Heart,50-64,805,"42.59 [39.07, 46.05]","43.17 [39.69, 46.60]"
1989,Heart,6-10 Years,16,"68.75 [40.46, 85.63]","68.75 [40.46, 85.63]"
1989,Heart,65+,41,"32.94 [18.30, 48.38]","29.27 [16.37, 43.42]"
1990,Heart/Lung,1-5 Years,3,*,*
1990,Heart/Lung,11-17 Years,2,*,*
1990,Heart/Lung,18-34,24,*,*
1990,Heart/Lung,35-49,19,*,*
1990,Heart/Lung,50-64,3,*,*
1990,Heart,<1 Year,86,"45.39 [34.28, 55.84]","53.49 [41.94, 63.73]"
1990,Heart,1-5 Years,50,"43.14 [29.16, 56.35]","49.33 [34.30, 62.71]"
1990,Heart,11-17 Years,58,"36.37 [24.01, 48.82]","41.36 [28.11, 54.11]"
1990,Heart,18-34,167,"54.35 [46.33, 61.68]","57.87 [49.84, 65.08]"
1990,Heart,35-49,570,"54.27 [49.97, 58.35]","57.74 [53.48, 61.76]"
1990,Heart,50-64,1022,"43.57 [40.41, 46.68]","45.00 [41.87, 48.08]"
1990,Heart,6-10 Years,22,"61.09 [36.67, 78.49]","66.35 [41.94, 82.39]"
1990,Heart,65+,70,"39.23 [27.53, 50.72]","38.04 [26.71, 49.28]"
1991,Heart/Lung,1-5 Years,2,*,*
1991,Heart/Lung,11-17 Years,6,*,*
1991,Heart/Lung,18-34,16,*,*
1991,Heart/Lung,35-49,18,*,*
1991,Heart/Lung,50-64,6,*,*
1991,Heart/Lung,6-10 Years,2,*,*
1991,Heart,<1 Year,123,"40.01 [30.94, 48.91]","44.71 [35.21, 53.76]"
1991,Heart,1-5 Years,52,"51.31 [36.94, 63.95]","59.74 [44.64, 71.96]"
1991,Heart,11-17 Years,59,"35.83 [23.67, 48.14]","47.27 [32.82, 60.42]"
1991,Heart,18-34,165,"50.15 [42.02, 57.73]","54.29 [45.98, 61.86]"
1991,Heart,35-49,533,"51.89 [47.44, 56.15]","53.91 [49.49, 58.11]"
1991,Heart,50-64,1033,"45.21 [42.07, 48.30]","46.81 [43.69, 49.87]"
1991,Heart,6-10 Years,20,*,*
1991,Heart,65+,73,"31.10 [20.68, 42.08]","29.45 [19.43, 40.17]"
1992,Heart/Lung,<1 Year,1,*,*
1992,Heart/Lung,1-5 Years,3,*,*
1992,Heart/Lung,11-17 Years,5,*,*
1992,Heart/Lung,18-34,18,*,*
1992,Heart/Lung,35-49,18,*,*
1992,Heart/Lung,50-64,2,*,*
1992,Heart/Lung,6-10 Years,1,*,*
1992,Heart,<1 Year,88,"57.62 [46.33, 67.37]","60.96 [49.64, 70.50]"
1992,Heart,1-5 Years,59,"47.03 [33.87, 59.12]","64.95 [50.99, 75.84]"
1992,Heart,11-17 Years,56,"48.64 [34.87, 61.08]","58.60 [43.67, 70.84]"
1992,Heart,18-34,164,"42.45 [34.67, 50.01]","46.57 [38.49, 54.25]"
1992,Heart,35-49,503,"53.44 [48.87, 57.79]","55.73 [51.18, 60.03]"
1992,Heart,50-64,1118,"44.06 [41.04, 47.03]","44.95 [41.97, 47.88]"
1992,Heart,6-10 Years,23,"46.82 [25.67, 65.48]","46.82 [25.67, 65.48]"
1992,Heart,65+,85,"28.02 [18.51, 38.31]","28.58 [19.38, 38.43]"
1992,Heart,Not Reported,1,*,*
1993,Heart/Lung,1-5 Years,7,*,*
1993,Heart/Lung,11-17 Years,7,*,*
1993,Heart/Lung,18-34,25,*,*
1993,Heart/Lung,35-49,13,*,*
1993,Heart/Lung,50-64,8,*,*
1993,Heart,<1 Year,106,"50.15 [40.17, 59.32]","55.35 [45.17, 64.39]"
1993,Heart,1-5 Years,51,"46.42 [32.28, 59.41]","60.65 [45.23, 72.96]"
1993,Heart,11-17 Years,73,"33.56 [22.66, 44.79]","38.06 [26.41, 49.62]"
1993,Heart,18-34,188,"50.75 [43.11, 57.88]","55.14 [47.39, 62.22]"
1993,Heart,35-49,516,"52.62 [48.08, 56.95]","53.54 [49.05, 57.81]"
1993,Heart,50-64,1140,"47.27 [44.24, 50.24]","48.43 [45.45, 51.34]"
1993,Heart,6-10 Years,31,*,"37.28 [20.46, 54.13]"
1993,Heart,65+,103,"41.63 [31.50, 51.43]","39.79 [30.22, 49.18]"
1994,Heart/Lung,1-5 Years,5,*,*
1994,Heart/Lung,11-17 Years,7,*,*
1994,Heart/Lung,18-34,22,*,*
1994,Heart/Lung,35-49,28,*,*
1994,Heart/Lung,50-64,6,*,*
1994,Heart/Lung,6-10 Years,3,*,*
1994,Heart,<1 Year,86,"49.54 [38.51, 59.62]","52.18 [40.95, 62.27]"
1994,Heart,1-5 Years,61,"37.74 [25.49, 49.93]","53.03 [39.08, 65.16]"
1994,Heart,11-17 Years,68,"47.76 [34.78, 59.63]","52.28 [39.07, 63.91]"
1994,Heart,18-34,172,"55.46 [47.36, 62.81]","56.98 [49.01, 64.17]"
1994,Heart,35-49,521,"51.90 [47.37, 56.23]","55.30 [50.80, 59.56]"
1994,Heart,50-64,1229,"50.19 [47.24, 53.05]","50.36 [47.49, 53.16]"
1994,Heart,6-10 Years,36,"42.22 [25.65, 57.90]","50.26 [32.43, 65.69]"
1994,Heart,65+,94,"45.60 [34.50, 56.02]","48.00 [37.35, 57.87]"
1994,Heart,Not Reported,2,*,*
1995,Heart/Lung,<1 Year,2,*,*
1995,Heart/Lung,1-5 Years,1,*,*
1995,Heart/Lung,11-17 Years,7,*,*
1995,Heart/Lung,18-34,20,*,*
1995,Heart/Lung,35-49,29,"54.08 [34.18, 70.33]","51.72 [32.50, 67.93]"
1995,Heart/Lung,50-64,7,*,*
1995,Heart/Lung,6-10 Years,2,*,*
1995,Heart,<1 Year,88,"60.84 [49.73, 70.22]","65.24 [54.15, 74.27]"
1995,Heart,1-5 Years,56,"52.66 [38.31, 65.13]","65.38 [50.06, 77.04]"
1995,Heart,11-17 Years,74,"40.36 [28.78, 51.64]","43.97 [31.94, 55.34]"
1995,Heart,18-34,164,"52.13 [43.90, 59.73]","55.30 [47.03, 62.81]"
1995,Heart,35-49,509,"52.57 [47.90, 57.01]","52.62 [48.08, 56.95]"
1995,Heart,50-64,1217,"48.16 [45.23, 51.03]","47.81 [44.94, 50.62]"
1995,Heart,6-10 Years,34,"42.65 [25.77, 58.53]","53.08 [33.59, 69.23]"
1995,Heart,65+,138,"48.32 [39.25, 56.79]","47.30 [38.71, 55.39]"
1995,Heart,Not Reported,2,*,*
1996,Heart/Lung,1-5 Years,5,*,*
1996,Heart/Lung,11-17 Years,4,*,*
1996,Heart/Lung,18-34,11,*,*
1996,Heart/Lung,35-49,14,*,*
1996,Heart/Lung,50-64,2,*,*
1996,Heart/Lung,6-10 Years,1,*,*
1996,Heart,<1 Year,74,"61.36 [49.15, 71.48]","66.27 [53.96, 76.00]"
1996,Heart,1-5 Years,52,"51.35 [36.99, 63.98]","54.96 [40.32, 67.40]"
1996,Heart,11-17 Years,92,"50.54 [39.09, 60.91]","52.78 [41.51, 62.85]"
1996,Heart,18-34,171,"51.29 [43.33, 58.68]","54.39 [46.43, 61.66]"
1996,Heart,35-49,490,"51.57 [46.92, 56.02]","51.80 [47.19, 56.20]"
1996,Heart,50-64,1188,"52.05 [49.05, 54.96]","51.41 [48.51, 54.23]"
1996,Heart,6-10 Years,33,"52.28 [33.69, 67.94]","63.00 [43.06, 77.62]"
1996,Heart,65+,160,"38.29 [30.49, 46.03]","38.21 [30.66, 45.71]"
1997,Heart/Lung,1-5 Years,3,*,*
1997,Heart/Lung,18-34,21,*,*
1997,Heart/Lung,35-49,27,*,*
1997,Heart/Lung,50-64,9,*,*
1997,Heart/Lung,6-10 Years,2,*,*
1997,Heart,<1 Year,92,"59.02 [48.12, 68.38]","66.53 [55.69, 75.30]"
1997,Heart,1-5 Years,61,"54.29 [40.77, 65.97]","69.87 [55.92, 80.16]"
1997,Heart,11-17 Years,78,"46.73 [35.11, 57.52]","49.49 [37.53, 60.37]"
1997,Heart,18-34,171,"49.16 [41.13, 56.70]","50.88 [42.80, 58.40]"
1997,Heart,35-49,445,"56.98 [52.07, 61.58]","57.05 [52.23, 61.58]"
1997,Heart,50-64,1139,"51.96 [48.91, 54.91]","52.75 [49.76, 55.64]"
1997,Heart,6-10 Years,29,"74.33 [53.43, 86.90]","75.71 [55.67, 87.61]"
1997,Heart,65+,191,"46.72 [39.35, 53.75]","45.93 [38.73, 52.83]"
1997,Heart,Not Reported,1,*,*
1998,Heart/Lung,<1 Year,4,*,*
1998,Heart/Lung,1-5 Years,2,*,*
1998,Heart/Lung,11-17 Years,1,*,*
1998,Heart/Lung,18-34,12,*,*
1998,Heart/Lung,35-49,18,*,*
1998,Heart/Lung,50-64,7,*,*
1998,Heart,<1 Year,80,"58.79 [46.72, 69.01]","64.05 [51.98, 73.84]"
1998,Heart,1-5 Years,53,"53.30 [38.39, 66.13]","62.31 [46.85, 74.44]"
1998,Heart,11-17 Years,83,"51.13 [39.82, 61.34]","57.56 [45.93, 67.56]"
1998,Heart,18-34,156,"53.64 [45.39, 61.19]","58.37 [50.04, 65.79]"
1998,Heart,35-49,450,"54.61 [49.69, 59.26]","55.81 [50.97, 60.37]"
1998,Heart,50-64,1175,"52.37 [49.37, 55.27]","53.15 [50.20, 56.00]"
1998,Heart,6-10 Years,33,"57.58 [39.13, 72.27]","65.56 [46.40, 79.28]"
1998,Heart,65+,199,"43.50 [36.17, 50.60]","42.36 [35.32, 49.22]"
1998,Heart,Not Reported,1,*,*
1999,Heart/Lung,<1 Year,1,*,*
1999,Heart/Lung,1-5 Years,4,*,*
1999,Heart/Lung,11-17 Years,2,*,*
1999,Heart/Lung,18-34,11,*,*
1999,Heart/Lung,35-49,17,*,*
1999,Heart/Lung,50-64,11,*,*
1999,Heart/Lung,6-10 Years,2,*,*
1999,Heart,<1 Year,58,"62.71 [48.66, 73.90]","68.91 [54.73, 79.44]"
1999,Heart,1-5 Years,64,"62.05 [48.91, 72.73]","63.53 [50.37, 74.08]"
1999,Heart,11-17 Years,84,"33.39 [23.46, 43.62]","40.04 [29.05, 50.78]"
1999,Heart,18-34,166,"48.84 [40.76, 56.43]","50.25 [42.17, 57.79]"
1999,Heart,35-49,411,"57.19 [52.03, 62.00]","57.61 [52.54, 62.34]"
1999,Heart,50-64,1068,"53.67 [50.51, 56.72]","53.84 [50.75, 56.83]"
1999,Heart,6-10 Years,29,"57.80 [37.75, 73.45]","61.01 [40.62, 76.26]"
1999,Heart,65+,204,"46.96 [39.71, 53.87]","44.30 [37.36, 51.00]"
1999,Heart,Not Reported,1,*,*
2000,Heart/Lung,<1 Year,1,*,*
2000,Heart/Lung,1-5 Years,1,*,*
2000,Heart/Lung,11-17 Years,4,*,*
2000,Heart/Lung,18-34,13,*,*
2000,Heart/Lung,35-49,16,*,*
2000,Heart/Lung,50-64,9,*,*
2000,Heart/Lung,6-10 Years,2,*,*
2000,Heart,<1 Year,72,"52.25 [39.80, 63.30]","59.43 [46.80, 69.99]"
2000,Heart,1-5 Years,53,"60.35 [45.51, 72.33]","69.22 [54.10, 80.23]"
2000,Heart,11-17 Years,86,"49.23 [37.86, 59.63]","56.68 [44.67, 67.03]"
2000,Heart,18-34,154,"48.52 [40.11, 56.41]","52.39 [43.93, 60.16]"
2000,Heart,35-49,402,"59.31 [54.08, 64.15]","58.01 [52.89, 62.78]"
2000,Heart,50-64,1087,"53.28 [50.16, 56.29]","53.06 [50.01, 56.02]"
2000,Heart,6-10 Years,38,"67.45 [48.78, 80.58]","63.81 [45.92, 77.16]"
2000,Heart,65+,208,"47.42 [40.20, 54.28]","46.61 [39.58, 53.34]"
2001,Heart/Lung,1-5 Years,1,*,*
2001,Heart/Lung,11-17 Years,4,*,*
2001,Heart/Lung,18-34,5,*,*
2001,Heart/Lung,35-49,13,*,*
2001,Heart/Lung,50-64,3,*,*
2001,Heart/Lung,6-10 Years,1,*,*
2001,Heart,<1 Year,64,"66.35 [53.14, 76.63]","69.55 [56.44, 79.41]"
2001,Heart,1-5 Years,81,"65.38 [53.67, 74.82]","70.33 [58.75, 79.22]"
2001,Heart,11-17 Years,84,"40.88 [30.07, 51.38]","42.71 [31.70, 53.26]"
2001,Heart,18-34,178,"53.06 [45.16, 60.35]","57.62 [49.67, 64.76]"
2001,Heart,35-49,441,"59.77 [54.88, 64.32]","59.93 [55.09, 64.43]"
2001,Heart,50-64,1030,"57.85 [54.68, 60.89]","58.19 [55.07, 61.17]"
2001,Heart,6-10 Years,25,"58.65 [35.30, 76.08]","67.03 [42.43, 82.97]"
2001,Heart,65+,204,"43.36 [36.21, 50.29]","42.42 [35.52, 49.15]"
2002,Heart/Lung,<1 Year,1,*,*
2002,Heart/Lung,11-17 Years,5,*,*
2002,Heart/Lung,18-34,9,*,*
2002,Heart/Lung,35-49,8,*,*
2002,Heart/Lung,50-64,9,*,*
2002,Heart,<1 Year,70,"62.79 [50.06, 73.14]","73.74 [61.11, 82.83]"
2002,Heart,1-5 Years,74,"57.69 [45.55, 68.06]","64.12 [51.92, 73.98]"
2002,Heart,11-17 Years,88,"50.05 [38.87, 60.23]","54.10 [42.64, 64.23]"
2002,Heart,18-34,186,"52.43 [44.80, 59.50]","56.46 [48.60, 63.57]"
2002,Heart,35-49,384,"63.88 [58.71, 68.58]","64.54 [59.43, 69.18]"
2002,Heart,50-64,994,"56.27 [53.00, 59.39]","55.75 [52.54, 58.83]"
2002,Heart,6-10 Years,36,"49.28 [32.10, 64.35]","54.92 [37.24, 69.51]"
2002,Heart,65+,214,"45.27 [38.30, 51.96]","44.18 [37.39, 50.74]"
2003,Heart/Lung,11-17 Years,4,*,*
2003,Heart/Lung,18-34,6,*,*
2003,Heart/Lung,35-49,14,*,*
2003,Heart/Lung,50-64,1,*,*
2003,Heart/Lung,6-10 Years,1,*,*
2003,Heart,<1 Year,81,"52.23 [40.71, 62.53]","52.80 [41.35, 63.01]"
2003,Heart,1-5 Years,45,"59.30 [43.41, 72.09]","65.92 [49.92, 77.88]"
2003,Heart,11-17 Years,91,"49.18 [38.35, 59.13]","58.17 [46.67, 68.04]"
2003,Heart,18-34,181,"51.36 [43.66, 58.52]","53.82 [46.05, 60.96]"
2003,Heart,35-49,413,"59.56 [54.51, 64.24]","59.90 [54.89, 64.55]"
2003,Heart,50-64,937,"56.80 [53.47, 59.99]","56.83 [53.53, 59.98]"
2003,Heart,6-10 Years,45,"72.80 [57.10, 83.55]","81.34 [66.06, 90.22]"
2003,Heart,65+,168,"43.53 [35.78, 51.01]","42.52 [34.89, 49.93]"
2004,Heart/Lung,1-5 Years,2,*,*
2004,Heart/Lung,11-17 Years,3,*,*
2004,Heart/Lung,18-34,12,*,*
2004,Heart/Lung,35-49,13,*,*
2004,Heart/Lung,50-64,7,*,*
2004,Heart/Lung,6-10 Years,1,*,*
2004,Heart,<1 Year,71,"57.75 [45.43, 68.24]","60.38 [48.00, 70.69]"
2004,Heart,1-5 Years,71,"61.46 [49.01, 71.72]","70.30 [57.77, 79.75]"
2004,Heart,11-17 Years,87,"51.59 [40.15, 61.87]","58.29 [46.31, 68.49]"
2004,Heart,18-34,194,"49.70 [42.39, 56.58]","55.36 [47.87, 62.21]"
2004,Heart,35-49,376,"59.92 [54.61, 64.82]","60.96 [55.69, 65.80]"
2004,Heart,50-64,878,"57.88 [54.43, 61.17]","57.36 [53.96, 60.60]"
2004,Heart,6-10 Years,39,"68.62 [51.35, 80.83]","71.37 [54.25, 83.02]"
2004,Heart,65+,176,"54.64 [46.86, 61.75]","54.38 [46.66, 61.47]"
2005,Heart/Lung,11-17 Years,4,*,*
2005,Heart/Lung,18-34,13,*,*
2005,Heart/Lung,35-49,10,*,*
2005,Heart/Lung,50-64,7,*,*
2005,Heart,<1 Year,81,"71.54 [60.35, 80.08]","71.54 [60.35, 80.08]"
2005,Heart,1-5 Years,66,"62.61 [49.55, 73.18]","70.04 [57.10, 79.75]"
2005,Heart,11-17 Years,100,"52.03 [41.41, 61.61]","54.70 [43.93, 64.25]"
2005,Heart,18-34,223,"53.74 [46.78, 60.19]","57.16 [50.16, 63.55]"
2005,Heart,35-49,381,"65.59 [60.46, 70.22]","66.75 [61.66, 71.33]"
2005,Heart,50-64,888,"57.55 [54.13, 60.82]","58.02 [54.63, 61.26]"
2005,Heart,6-10 Years,35,"72.86 [54.30, 84.86]","81.38 [63.07, 91.20]"
2005,Heart,65+,200,"50.76 [43.42, 57.63]","50.65 [43.45, 57.40]"
2006,Heart/Lung,<1 Year,3,*,*
2006,Heart/Lung,1-5 Years,1,*,*
2006,Heart/Lung,11-17 Years,3,*,*
2006,Heart/Lung,18-34,3,*,*
2006,Heart/Lung,35-49,15,*,*
2006,Heart/Lung,50-64,6,*,*
2006,Heart,<1 Year,89,"57.77 [46.73, 67.32]","63.27 [52.20, 72.44]"
2006,Heart,1-5 Years,71,"70.97 [58.68, 80.21]","76.48 [64.46, 84.90]"
2006,Heart,11-17 Years,99,"58.30 [47.43, 67.69]","59.22 [48.31, 68.58]"
2006,Heart,18-34,212,"48.79 [41.66, 55.54]","49.33 [42.14, 56.12]"
2006,Heart,35-49,411,"60.58 [55.53, 65.25]","62.84 [57.81, 67.45]"
2006,Heart,50-64,917,"57.65 [54.31, 60.84]","58.29 [54.96, 61.46]"
2006,Heart,6-10 Years,36,"64.32 [45.73, 77.96]","67.24 [48.61, 80.38]"
2006,Heart,65+,236,"54.19 [47.54, 60.37]","54.34 [47.74, 60.47]"
2007,Heart/Lung,<1 Year,1,*,*
2007,Heart/Lung,1-5 Years,1,*,*
2007,Heart/Lung,11-17 Years,1,*,*
2007,Heart/Lung,18-34,9,*,*
2007,Heart/Lung,35-49,14,*,*
2007,Heart/Lung,50-64,5,*,*
2007,Heart,<1 Year,87,"67.45 [56.44, 76.26]","70.96 [60.12, 79.36]"
2007,Heart,1-5 Years,73,"67.09 [54.72, 76.78]","75.06 [62.93, 83.72]"
2007,Heart,11-17 Years,99,"54.83 [44.08, 64.34]","62.98 [51.93, 72.16]"
2007,Heart,18-34,201,"53.55 [46.34, 60.22]","55.70 [48.44, 62.35]"
2007,Heart,35-49,420,"64.51 [59.66, 68.93]","64.67 [59.82, 69.09]"
2007,Heart,50-64,908,"61.68 [58.35, 64.83]","61.36 [58.05, 64.48]"
2007,Heart,6-10 Years,37,"79.68 [62.01, 89.76]","85.03 [67.63, 93.49]"
2007,Heart,65+,235,"58.76 [52.06, 64.86]","57.54 [50.92, 63.59]"
2008,Heart/Lung,1-5 Years,2,*,*
2008,Heart/Lung,11-17 Years,3,*,*
2008,Heart/Lung,18-34,8,*,*
2008,Heart/Lung,35-49,7,*,*
2008,Heart/Lung,50-64,5,*,*
2008,Heart/Lung,6-10 Years,1,*,*
2008,Heart,<1 Year,99,"60.15 [49.74, 69.08]","63.67 [53.20, 72.40]"
2008,Heart,1-5 Years,101,"73.59 [63.45, 81.33]","82.83 [73.47, 89.13]"
2008,Heart,11-17 Years,92,"62.33 [51.24, 71.58]","65.28 [54.15, 74.34]"
2008,Heart,18-34,184,"55.61 [47.98, 62.58]","58.24 [50.57, 65.13]"
2008,Heart,35-49,382,"63.39 [58.26, 68.07]","65.01 [59.89, 69.65]"
2008,Heart,50-64,859,"63.87 [60.50, 67.03]","63.97 [60.62, 67.12]"
2008,Heart,6-10 Years,53,"65.35 [50.74, 76.58]","77.02 [62.23, 86.61]"
2008,Heart,65+,243,"52.46 [45.85, 58.64]","51.95 [45.46, 58.05]"
2009,Heart/Lung,1-5 Years,1,*,*
2009,Heart/Lung,11-17 Years,1,*,*
2009,Heart/Lung,18-34,9,*,*
2009,Heart/Lung,35-49,11,*,*
2009,Heart/Lung,50-64,4,*,*
2009,Heart/Lung,6-10 Years,1,*,*
2009,Heart,<1 Year,116,"68.71 [59.37, 76.33]","72.98 [63.84, 80.17]"
2009,Heart,1-5 Years,76,"65.95 [53.87, 75.57]","69.90 [57.93, 79.07]"
2009,Heart,11-17 Years,98,"65.61 [54.95, 74.33]","68.20 [57.50, 76.74]"
2009,Heart,18-34,181,"62.46 [54.83, 69.17]","64.20 [56.62, 70.81]"
2009,Heart,35-49,365,"65.53 [60.33, 70.22]","67.61 [62.45, 72.22]"
2009,Heart,50-64,911,"60.30 [56.98, 63.45]","59.96 [56.64, 63.11]"
2009,Heart,6-10 Years,44,"83.92 [69.19, 91.99]","90.73 [77.13, 96.42]"
2009,Heart,65+,272,"53.10 [46.87, 58.93]","52.74 [46.56, 58.55]"
2010,Heart/Lung,1-5 Years,1,*,*
2010,Heart/Lung,18-34,14,*,*
2010,Heart/Lung,35-49,10,*,*
2010,Heart/Lung,50-64,15,*,*
2010,Heart,<1 Year,104,"75.77 [66.28, 82.93]","81.25 [72.16, 87.61]"
2010,Heart,1-5 Years,74,"68.41 [56.39, 77.76]","73.30 [61.35, 82.08]"
2010,Heart,11-17 Years,107,"65.04 [54.96, 73.41]","68.49 [58.44, 76.60]"
2010,Heart,18-34,201,"64.31 [57.16, 70.58]","67.60 [60.44, 73.75]"
2010,Heart,35-49,394,"66.60 [61.62, 71.09]","67.32 [62.35, 71.78]"
2010,Heart,50-64,950,"62.11 [58.89, 65.16]","61.97 [58.75, 65.01]"
2010,Heart,6-10 Years,48,"65.41 [49.86, 77.19]","77.17 [61.58, 87.07]"
2010,Heart,65+,304,"51.71 [45.84, 57.26]","51.59 [45.77, 57.09]"
2011,Heart/Lung,11-17 Years,2,*,*
2011,Heart/Lung,18-34,4,*,*
2011,Heart/Lung,35-49,6,*,*
2011,Heart/Lung,50-64,12,*,*
2011,Heart/Lung,65+,2,*,*
2011,Heart,<1 Year,109,"74.78 [65.41, 81.96]","79.11 [70.01, 85.72]"
2011,Heart,1-5 Years,85,"74.73 [63.93, 82.73]","81.34 [70.95, 88.31]"
2011,Heart,11-17 Years,114,"60.55 [50.67, 69.06]","64.23 [54.25, 72.59]"
2011,Heart,18-34,183,"65.00 [57.45, 71.54]","70.88 [63.41, 77.11]"
