Transplant Year,Organ,Age Group,N,Graft Survival Rate [95% CI],Patient Survival Rate [95% CI]
2011,Heart,35-49,348,"67.31 [61.99, 72.06]","68.15 [62.85, 72.86]"
2011,Heart,50-64,937,"63.06 [59.83, 66.11]","63.83 [60.60, 66.87]"
2011,Heart,6-10 Years,39,"57.61 [40.34, 71.53]","67.68 [49.04, 80.74]"
2011,Heart,65+,322,"59.46 [53.77, 64.68]","58.22 [52.58, 63.42]"
2012,Heart/Lung,11-17 Years,2,*,*
2012,Heart/Lung,18-34,7,*,*
2012,Heart/Lung,35-49,7,*,*
2012,Heart/Lung,50-64,12,*,*
2012,Heart/Lung,65+,1,*,*
2012,Heart,<1 Year,106,"73.76 [64.08, 81.21]","76.56 [67.04, 83.65]"
2012,Heart,1-5 Years,84,"79.48 [69.08, 86.71]","82.89 [72.80, 89.50]"
2012,Heart,11-17 Years,100,"75.50 [65.37, 83.05]","77.18 [67.06, 84.54]"
2012,Heart,18-34,189,"61.93 [54.36, 68.62]","64.82 [57.28, 71.37]"
2012,Heart,35-49,396,"67.34 [62.36, 71.81]","69.21 [64.27, 73.61]"
2012,Heart,50-64,933,"62.85 [59.53, 65.97]","62.69 [59.36, 65.82]"
2012,Heart,6-10 Years,52,"70.07 [55.24, 80.81]","77.38 [62.67, 86.88]"
2012,Heart,65+,345,"51.29 [45.71, 56.58]","49.59 [44.09, 54.85]"
Overall,Heart/Lung,<1 Year,15,*,*
Overall,Heart/Lung,1-5 Years,47,*,*
Overall,Heart/Lung,11-17 Years,85,"31.20 [21.61, 41.24]","34.69 [24.57, 44.99]"
Overall,Heart/Lung,18-34,352,"29.06 [24.31, 33.95]","29.56 [24.81, 34.46]"
Overall,Heart/Lung,35-49,398,"28.83 [24.38, 33.41]","28.97 [24.55, 33.52]"
Overall,Heart/Lung,50-64,166,"30.21 [23.35, 37.34]","30.40 [23.54, 37.52]"
Overall,Heart/Lung,6-10 Years,26,*,*
Overall,Heart/Lung,65+,3,*,*
Overall,Heart,<1 Year,2135,"59.55 [57.40, 61.63]","64.21 [62.09, 66.25]"
Overall,Heart,1-5 Years,1554,"61.01 [58.50, 63.43]","69.04 [66.60, 71.34]"
Overall,Heart,11-17 Years,2051,"51.50 [49.24, 53.71]","56.26 [53.97, 58.48]"
Overall,Heart,18-34,4505,"53.68 [52.17, 55.16]","56.95 [55.45, 58.43]"
Overall,Heart,35-49,11030,"57.43 [56.48, 58.38]","58.69 [57.74, 59.62]"
Overall,Heart,50-64,25199,"53.47 [52.84, 54.10]","53.75 [53.12, 54.37]"
Overall,Heart,6-10 Years,851,"61.51 [58.07, 64.75]","67.73 [64.35, 70.86]"
Overall,Heart,65+,4509,"48.89 [47.38, 50.38]","48.00 [46.52, 49.46]"
Overall,Heart,Not Reported,8,*,*
