Transplant Year,Organ,Age Group,N,Graft Survival Rate [95% CI],Patient Survival Rate [95% CI]
1988,Heart/Lung,1-5 Years,1,*,*
1988,Heart/Lung,11-17 Years,6,*,*
1988,Heart/Lung,18-34,31,*,*
1988,Heart/Lung,35-49,26,*,*
1988,Heart/Lung,50-64,6,*,*
1988,Heart/Lung,6-10 Years,3,*,*
1988,Heart,<1 Year,34,*,*
1988,Heart,1-5 Years,19,*,*
1988,Heart,11-17 Years,41,"37.93 [23.16, 52.60]","51.54 [34.70, 66.03]"
1988,Heart,18-34,182,"40.05 [32.59, 47.38]","46.42 [38.57, 53.90]"
1988,Heart,35-49,478,"25.77 [21.66, 30.07]","28.22 [24.07, 32.51]"
1988,Heart,50-64,836,"22.77 [19.81, 25.85]","22.93 [20.04, 25.94]"
1988,Heart,6-10 Years,18,*,*
1988,Heart,65+,24,*,*
1989,Heart/Lung,<1 Year,1,*,*
1989,Heart/Lung,1-5 Years,1,*,*
1989,Heart/Lung,11-17 Years,2,*,*
1989,Heart/Lung,18-34,29,*,*
1989,Heart/Lung,35-49,27,*,*
1989,Heart/Lung,50-64,4,*,*
1989,Heart/Lung,6-10 Years,3,*,*
1989,Heart,<1 Year,71,"32.35 [21.25, 43.95]","38.72 [26.32, 50.94]"
1989,Heart,1-5 Years,22,*,*
1989,Heart,11-17 Years,40,"35.24 [20.63, 50.19]","39.87 [24.32, 54.99]"
1989,Heart,18-34,172,"39.93 [32.12, 47.62]","43.36 [35.59, 50.86]"
1989,Heart,35-49,491,"30.19 [25.89, 34.59]","32.97 [28.67, 37.33]"
1989,Heart,50-64,805,"25.07 [21.96, 28.29]","24.14 [21.18, 27.21]"
1989,Heart,6-10 Years,16,*,*
1989,Heart,65+,41,*,*
1990,Heart/Lung,1-5 Years,3,*,*
1990,Heart/Lung,11-17 Years,2,*,*
1990,Heart/Lung,18-34,24,*,*
1990,Heart/Lung,35-49,19,*,*
1990,Heart/Lung,50-64,3,*,*
1990,Heart,<1 Year,86,"41.30 [30.41, 51.85]","50.39 [38.79, 60.89]"
1990,Heart,1-5 Years,50,"32.52 [19.93, 45.74]","44.26 [29.48, 58.04]"
1990,Heart,11-17 Years,58,*,*
1990,Heart,18-34,167,"36.39 [28.78, 44.02]","39.45 [31.68, 47.12]"
1990,Heart,35-49,570,"35.22 [31.04, 39.43]","37.95 [33.80, 42.09]"
1990,Heart,50-64,1022,"24.83 [22.01, 27.74]","25.11 [22.41, 27.89]"
1990,Heart,6-10 Years,22,*,*
1990,Heart,65+,70,"26.44 [16.10, 37.95]","24.34 [14.91, 35.04]"
1991,Heart/Lung,1-5 Years,2,*,*
1991,Heart/Lung,11-17 Years,6,*,*
1991,Heart/Lung,18-34,16,*,*
1991,Heart/Lung,35-49,18,*,*
1991,Heart/Lung,50-64,6,*,*
1991,Heart/Lung,6-10 Years,2,*,*
1991,Heart,<1 Year,123,"32.64 [23.98, 41.57]","39.26 [29.93, 48.45]"
1991,Heart,1-5 Years,52,"34.21 [21.40, 47.41]","48.58 [33.05, 62.45]"
1991,Heart,11-17 Years,59,"22.63 [12.68, 34.33]","29.86 [17.20, 43.60]"
1991,Heart,18-34,165,"36.54 [28.61, 44.48]","40.74 [32.51, 48.79]"
1991,Heart,35-49,533,"33.90 [29.63, 38.21]","35.29 [31.08, 39.53]"
1991,Heart,50-64,1033,"26.48 [23.65, 29.39]","27.13 [24.38, 29.95]"
1991,Heart,6-10 Years,20,*,*
1991,Heart,65+,73,*,*
1992,Heart/Lung,<1 Year,1,*,*
1992,Heart/Lung,1-5 Years,3,*,*
1992,Heart/Lung,11-17 Years,5,*,*
1992,Heart/Lung,18-34,18,*,*
1992,Heart/Lung,35-49,18,*,*
1992,Heart/Lung,50-64,2,*,*
1992,Heart/Lung,6-10 Years,1,*,*
1992,Heart,<1 Year,88,"43.54 [32.62, 53.94]","53.67 [42.09, 63.92]"
1992,Heart,1-5 Years,59,"36.58 [24.44, 48.78]","59.74 [45.09, 71.66]"
1992,Heart,11-17 Years,56,"41.00 [27.85, 53.69]","53.79 [38.77, 66.64]"
1992,Heart,18-34,164,"31.72 [24.45, 39.21]","35.60 [27.81, 43.45]"
1992,Heart,35-49,503,"37.10 [32.65, 41.54]","38.42 [34.01, 42.80]"
1992,Heart,50-64,1118,"27.00 [24.27, 29.80]","26.76 [24.14, 29.45]"
1992,Heart,6-10 Years,23,*,*
1992,Heart,65+,85,*,"14.29 [7.83, 22.62]"
1992,Heart,Not Reported,1,*,*
1993,Heart/Lung,1-5 Years,7,*,*
1993,Heart/Lung,11-17 Years,7,*,*
1993,Heart/Lung,18-34,25,*,*
1993,Heart/Lung,35-49,13,*,*
1993,Heart/Lung,50-64,8,*,*
1993,Heart,<1 Year,106,"39.71 [30.14, 49.09]","45.84 [35.62, 55.46]"
1993,Heart,1-5 Years,51,"32.30 [19.93, 45.29]","55.14 [39.43, 68.33]"
1993,Heart,11-17 Years,73,"25.69 [15.93, 36.59]","30.53 [19.55, 42.20]"
1993,Heart,18-34,188,"36.26 [28.94, 43.60]","40.88 [33.21, 48.38]"
1993,Heart,35-49,516,"34.27 [29.87, 38.70]","36.10 [31.79, 40.41]"
1993,Heart,50-64,1140,"28.33 [25.52, 31.20]","27.94 [25.29, 30.63]"
1993,Heart,6-10 Years,31,*,*
1993,Heart,65+,103,"17.94 [10.58, 26.87]","16.77 [10.13, 24.83]"
1994,Heart/Lung,1-5 Years,5,*,*
1994,Heart/Lung,11-17 Years,7,*,*
1994,Heart/Lung,18-34,22,*,*
1994,Heart/Lung,35-49,28,*,*
1994,Heart/Lung,50-64,6,*,*
1994,Heart/Lung,6-10 Years,3,*,*
1994,Heart,<1 Year,86,"45.52 [34.60, 55.79]","50.74 [39.48, 60.93]"
1994,Heart,1-5 Years,61,"28.31 [17.30, 40.34]","44.66 [30.32, 58.01]"
1994,Heart,11-17 Years,68,"32.08 [19.93, 44.87]","30.49 [18.87, 42.92]"
1994,Heart,18-34,172,"34.09 [26.53, 41.76]","39.11 [31.37, 46.74]"
1994,Heart,35-49,521,"35.39 [31.02, 39.78]","37.39 [33.03, 41.74]"
1994,Heart,50-64,1229,"27.93 [25.23, 30.69]","27.02 [24.49, 29.61]"
1994,Heart,6-10 Years,36,"35.72 [20.11, 51.65]","43.56 [26.36, 59.58]"
1994,Heart,65+,94,"22.99 [14.18, 33.09]","22.99 [14.74, 32.34]"
1994,Heart,Not Reported,2,*,*
1995,Heart/Lung,<1 Year,2,*,*
1995,Heart/Lung,1-5 Years,1,*,*
1995,Heart/Lung,11-17 Years,7,*,*
1995,Heart/Lung,18-34,20,*,*
1995,Heart/Lung,35-49,29,*,*
1995,Heart/Lung,50-64,7,*,*
1995,Heart/Lung,6-10 Years,2,*,*
1995,Heart,<1 Year,88,"52.34 [41.26, 62.29]","61.26 [49.98, 70.74]"
1995,Heart,1-5 Years,56,"39.63 [26.09, 52.85]","54.01 [37.88, 67.65]"
1995,Heart,11-17 Years,74,"29.06 [18.69, 40.23]","33.42 [22.17, 45.04]"
1995,Heart,18-34,164,"36.32 [28.47, 44.20]","42.97 [34.60, 51.05]"
1995,Heart,35-49,509,"38.65 [34.06, 43.21]","38.31 [33.94, 42.67]"
1995,Heart,50-64,1217,"30.19 [27.43, 32.99]","29.08 [26.50, 31.71]"
1995,Heart,6-10 Years,34,*,*
1995,Heart,65+,138,"20.86 [13.72, 29.04]","16.83 [11.03, 23.69]"
1995,Heart,Not Reported,2,*,*
1996,Heart/Lung,1-5 Years,5,*,*
1996,Heart/Lung,11-17 Years,4,*,*
1996,Heart/Lung,18-34,11,*,*
1996,Heart/Lung,35-49,14,*,*
1996,Heart/Lung,50-64,2,*,*
1996,Heart/Lung,6-10 Years,1,*,*
1996,Heart,<1 Year,74,"51.43 [39.35, 62.25]","64.52 [52.07, 74.52]"
1996,Heart,1-5 Years,52,"36.97 [23.90, 50.07]","47.11 [32.36, 60.52]"
1996,Heart,11-17 Years,92,"33.24 [22.53, 44.30]","34.18 [23.72, 44.88]"
1996,Heart,18-34,171,"36.29 [28.68, 43.93]","40.79 [32.94, 48.48]"
1996,Heart,35-49,490,"40.19 [35.61, 44.72]","40.84 [36.31, 45.30]"
1996,Heart,50-64,1188,"34.21 [31.31, 37.13]","31.99 [29.32, 34.69]"
1996,Heart,6-10 Years,33,"39.21 [22.40, 55.66]","47.25 [28.03, 64.29]"
1996,Heart,65+,160,"18.29 [12.29, 25.24]","17.55 [12.05, 23.91]"
1997,Heart/Lung,1-5 Years,3,*,*
1997,Heart/Lung,18-34,21,*,*
1997,Heart/Lung,35-49,27,*,*
1997,Heart/Lung,50-64,9,*,*
1997,Heart/Lung,6-10 Years,2,*,*
1997,Heart,<1 Year,92,"50.82 [39.99, 60.66]","63.90 [52.88, 72.99]"
1997,Heart,1-5 Years,61,"43.78 [30.87, 55.96]","65.36 [50.92, 76.50]"
1997,Heart,11-17 Years,78,"35.99 [25.02, 47.06]","41.16 [29.44, 52.49]"
1997,Heart,18-34,171,"38.33 [30.56, 46.04]","41.45 [33.51, 49.19]"
1997,Heart,35-49,445,"41.65 [36.75, 46.47]","42.30 [37.49, 47.02]"
1997,Heart,50-64,1139,"32.34 [29.45, 35.26]","32.67 [29.89, 35.47]"
1997,Heart,6-10 Years,29,"48.10 [27.50, 66.03]","46.35 [27.33, 63.40]"
1997,Heart,65+,191,"23.63 [17.50, 30.30]","22.70 [16.99, 28.92]"
1997,Heart,Not Reported,1,*,*
1998,Heart/Lung,<1 Year,4,*,*
1998,Heart/Lung,1-5 Years,2,*,*
1998,Heart/Lung,11-17 Years,1,*,*
1998,Heart/Lung,18-34,12,*,*
1998,Heart/Lung,35-49,18,*,*
1998,Heart/Lung,50-64,7,*,*
1998,Heart,<1 Year,80,"49.97 [37.98, 60.82]","58.98 [46.58, 69.43]"
1998,Heart,1-5 Years,53,"46.63 [32.08, 59.94]","54.72 [39.09, 67.91]"
1998,Heart,11-17 Years,83,"41.95 [31.06, 52.45]","47.26 [35.66, 58.00]"
1998,Heart,18-34,156,"40.62 [32.62, 48.46]","46.38 [37.91, 54.41]"
1998,Heart,35-49,450,"39.94 [35.04, 44.80]","39.74 [34.97, 44.46]"
1998,Heart,50-64,1175,"32.70 [29.83, 35.60]","32.83 [30.08, 35.61]"
1998,Heart,6-10 Years,33,"33.87 [18.11, 50.35]","40.06 [22.52, 57.05]"
1998,Heart,65+,199,"24.83 [18.44, 31.73]","22.62 [16.90, 28.85]"
1998,Heart,Not Reported,1,*,*
1999,Heart/Lung,<1 Year,1,*,*
1999,Heart/Lung,1-5 Years,4,*,*
1999,Heart/Lung,11-17 Years,2,*,*
1999,Heart/Lung,18-34,11,*,*
1999,Heart/Lung,35-49,17,*,*
1999,Heart/Lung,50-64,11,*,*
1999,Heart/Lung,6-10 Years,2,*,*
1999,Heart,<1 Year,58,"53.20 [39.23, 65.34]","64.31 [49.68, 75.69]"
1999,Heart,1-5 Years,64,"50.62 [37.69, 62.19]","56.56 [43.27, 67.86]"
1999,Heart,11-17 Years,84,"25.97 [17.04, 35.80]","35.22 [24.51, 46.10]"
1999,Heart,18-34,166,"40.14 [32.26, 47.89]","41.12 [33.24, 48.82]"
1999,Heart,35-49,411,"45.67 [40.50, 50.69]","46.87 [41.78, 51.79]"
1999,Heart,50-64,1068,"35.80 [32.72, 38.89]","34.96 [32.01, 37.92]"
1999,Heart,6-10 Years,29,"46.36 [27.28, 63.45]","52.43 [32.10, 69.29]"
1999,Heart,65+,204,"26.77 [20.39, 33.54]","24.24 [18.50, 30.40]"
1999,Heart,Not Reported,1,*,*
2000,Heart/Lung,<1 Year,1,*,*
2000,Heart/Lung,1-5 Years,1,*,*
2000,Heart/Lung,11-17 Years,4,*,*
2000,Heart/Lung,18-34,13,*,*
2000,Heart/Lung,35-49,16,*,*
2000,Heart/Lung,50-64,9,*,*
2000,Heart/Lung,6-10 Years,2,*,*
2000,Heart,<1 Year,72,"47.50 [35.21, 58.81]","59.43 [46.80, 69.99]"
2000,Heart,1-5 Years,53,"48.28 [33.97, 61.20]","62.14 [46.61, 74.33]"
2000,Heart,11-17 Years,86,"32.38 [22.15, 43.01]","41.58 [29.71, 53.02]"
2000,Heart,18-34,154,"30.88 [23.13, 38.94]","36.87 [28.59, 45.15]"
2000,Heart,35-49,402,"45.62 [40.26, 50.81]","46.30 [41.11, 51.32]"
2000,Heart,50-64,1087,"34.38 [31.40, 37.37]","33.07 [30.22, 35.94]"
2000,Heart,6-10 Years,38,"36.02 [19.47, 52.88]","42.63 [25.12, 59.08]"
2000,Heart,65+,208,"23.32 [17.20, 29.99]","22.63 [16.97, 28.80]"
2001,Heart/Lung,1-5 Years,1,*,*
2001,Heart/Lung,11-17 Years,4,*,*
2001,Heart/Lung,18-34,5,*,*
2001,Heart/Lung,35-49,13,*,*
2001,Heart/Lung,50-64,3,*,*
2001,Heart/Lung,6-10 Years,1,*,*
2001,Heart,<1 Year,64,"57.85 [44.49, 69.07]","62.42 [48.94, 73.28]"
2001,Heart,1-5 Years,81,"44.95 [33.50, 55.73]","60.83 [48.52, 71.05]"
2001,Heart,11-17 Years,84,"36.83 [26.33, 47.35]","39.85 [29.00, 50.47]"
2001,Heart,18-34,178,"41.39 [33.63, 48.95]","48.76 [40.66, 56.37]"
2001,Heart,35-49,441,"47.03 [42.03, 51.87]","46.67 [41.75, 51.44]"
2001,Heart,50-64,1030,"41.95 [38.75, 45.12]","40.10 [37.03, 43.15]"
2001,Heart,6-10 Years,25,*,*
2001,Heart,65+,204,"24.64 [18.58, 31.18]","23.95 [18.24, 30.09]"
2002,Heart/Lung,<1 Year,1,*,*
2002,Heart/Lung,11-17 Years,5,*,*
2002,Heart/Lung,18-34,9,*,*
2002,Heart/Lung,35-49,8,*,*
2002,Heart/Lung,50-64,9,*,*
2002,Heart,<1 Year,70,"56.67 [43.93, 67.56]","71.90 [59.03, 81.34]"
2002,Heart,1-5 Years,74,"48.87 [36.88, 59.81]","60.65 [48.20, 70.99]"
2002,Heart,11-17 Years,88,"34.65 [24.49, 45.01]","43.89 [32.58, 54.63]"
2002,Heart,18-34,186,"41.47 [33.98, 48.80]","46.09 [38.20, 53.62]"
2002,Heart,35-49,384,"50.10 [44.75, 55.20]","51.19 [45.89, 56.23]"
2002,Heart,50-64,994,"39.61 [36.36, 42.83]","38.45 [35.32, 41.58]"
2002,Heart,6-10 Years,36,"31.06 [16.59, 46.71]","43.38 [25.79, 59.76]"
2002,Heart,65+,214,"25.66 [19.69, 32.02]","23.73 [18.18, 29.70]"
2003,Heart/Lung,11-17 Years,4,*,*
2003,Heart/Lung,18-34,6,*,*
2003,Heart/Lung,35-49,14,*,*
2003,Heart/Lung,50-64,1,*,*
2003,Heart/Lung,6-10 Years,1,*,*
2003,Heart,<1 Year,81,"49.61 [38.18, 60.04]","50.16 [38.77, 60.51]"
2003,Heart,1-5 Years,45,"50.18 [34.76, 63.76]","58.01 [41.73, 71.22]"
2003,Heart,11-17 Years,91,"33.84 [23.91, 44.03]","45.29 [33.56, 56.30]"
2003,Heart,18-34,181,"38.19 [30.84, 45.50]","40.97 [33.41, 48.37]"
2003,Heart,35-49,413,"43.42 [38.35, 48.37]","43.77 [38.74, 48.69]"
2003,Heart,50-64,937,"40.36 [37.05, 43.64]","39.30 [36.08, 42.50]"
2003,Heart,6-10 Years,45,"42.59 [27.78, 56.62]","59.08 [41.81, 72.80]"
2003,Heart,65+,168,"28.61 [21.71, 35.87]","26.67 [20.10, 33.67]"
2004,Heart/Lung,1-5 Years,2,*,*
2004,Heart/Lung,11-17 Years,3,*,*
2004,Heart/Lung,18-34,12,*,*
2004,Heart/Lung,35-49,13,*,*
2004,Heart/Lung,50-64,7,*,*
2004,Heart/Lung,6-10 Years,1,*,*
2004,Heart,<1 Year,71,"56.30 [44.00, 66.90]","58.87 [46.47, 69.33]"
2004,Heart,1-5 Years,71,"52.64 [40.29, 63.57]","66.78 [53.93, 76.80]"
2004,Heart,11-17 Years,87,"38.10 [27.37, 48.74]","46.09 [34.22, 57.15]"
2004,Heart,18-34,194,"42.75 [35.55, 49.74]","47.25 [39.73, 54.40]"
2004,Heart,35-49,376,"47.50 [42.11, 52.69]","49.54 [44.15, 54.70]"
2004,Heart,50-64,878,"41.89 [38.43, 45.30]","40.23 [36.88, 43.55]"
2004,Heart,6-10 Years,39,"48.10 [31.12, 63.20]","59.09 [41.26, 73.15]"
2004,Heart,65+,176,"29.06 [22.24, 36.21]","26.47 [20.08, 33.28]"
2005,Heart/Lung,11-17 Years,4,*,*
2005,Heart/Lung,18-34,13,*,*
2005,Heart/Lung,35-49,10,*,*
2005,Heart/Lung,50-64,7,*,*
2005,Heart,<1 Year,81,"60.04 [48.45, 69.83]","63.62 [52.01, 73.14]"
2005,Heart,1-5 Years,66,"44.49 [31.94, 56.28]","53.46 [39.92, 65.25]"
2005,Heart,11-17 Years,100,"43.14 [32.90, 52.95]","49.58 [38.79, 59.47]"
2005,Heart,18-34,223,"39.85 [33.04, 46.55]","46.19 [39.05, 53.02]"
2005,Heart,35-49,381,"50.24 [44.89, 55.33]","50.91 [45.57, 56.00]"
2005,Heart,50-64,888,"39.48 [36.08, 42.85]","38.56 [35.23, 41.88]"
2005,Heart,6-10 Years,35,"53.97 [35.52, 69.24]","70.18 [50.12, 83.40]"
2005,Heart,65+,200,"27.31 [21.00, 33.99]","26.39 [20.36, 32.78]"
2006,Heart/Lung,<1 Year,3,*,*
2006,Heart/Lung,1-5 Years,1,*,*
2006,Heart/Lung,11-17 Years,3,*,*
2006,Heart/Lung,18-34,3,*,*
2006,Heart/Lung,35-49,15,*,*
2006,Heart/Lung,50-64,6,*,*
2006,Heart,<1 Year,89,"51.99 [41.05, 61.85]","60.66 [49.48, 70.10]"
2006,Heart,1-5 Years,71,"61.91 [49.27, 72.27]","73.08 [60.62, 82.16]"
2006,Heart,11-17 Years,99,"48.28 [37.42, 58.31]","49.04 [38.09, 59.10]"
2006,Heart,18-34,212,"38.95 [32.06, 45.76]","41.99 [34.92, 48.89]"
2006,Heart,35-49,411,"49.59 [44.44, 54.53]","52.11 [46.90, 57.06]"
2006,Heart,50-64,917,"38.34 [35.05, 41.63]","37.52 [34.27, 40.76]"
2006,Heart,6-10 Years,36,"54.67 [36.30, 69.78]","57.15 [38.41, 72.10]"
2006,Heart,65+,236,"29.40 [23.58, 35.44]","29.05 [23.37, 34.96]"
2007,Heart/Lung,<1 Year,1,*,*
2007,Heart/Lung,1-5 Years,1,*,*
2007,Heart/Lung,11-17 Years,1,*,*
2007,Heart/Lung,18-34,9,*,*
2007,Heart/Lung,35-49,14,*,*
2007,Heart/Lung,50-64,5,*,*
2007,Heart,<1 Year,87,"61.45 [50.27, 70.84]","67.04 [55.90, 75.97]"
2007,Heart,1-5 Years,73,"55.11 [42.60, 65.96]","66.43 [53.46, 76.56]"
2007,Heart,11-17 Years,99,"42.52 [32.04, 52.60]","52.50 [40.90, 62.84]"
2007,Heart,18-34,201,"42.07 [35.02, 48.95]","46.85 [39.54, 53.82]"
2007,Heart,35-49,420,"47.73 [42.69, 52.59]","48.41 [43.36, 53.27]"
2007,Heart,50-64,908,"38.77 [35.38, 42.14]","37.11 [33.81, 40.41]"
2007,Heart,6-10 Years,37,"58.23 [39.80, 72.80]","68.02 [48.53, 81.43]"
2007,Heart,65+,235,"31.64 [25.43, 38.02]","30.34 [24.36, 36.53]"
Overall,Heart/Lung,<1 Year,15,*,*
Overall,Heart/Lung,1-5 Years,43,*,*
Overall,Heart/Lung,11-17 Years,77,"25.02 [15.58, 35.61]","26.28 [16.61, 36.98]"
Overall,Heart/Lung,18-34,310,"23.07 [18.39, 28.09]","23.00 [18.35, 27.96]"
Overall,Heart/Lung,35-49,357,"22.58 [18.26, 27.18]","21.99 [17.80, 26.48]"
Overall,Heart/Lung,50-64,118,"17.62 [11.15, 25.30]","17.01 [10.80, 24.42]"
Overall,Heart/Lung,6-10 Years,24,*,*
Overall,Heart,<1 Year,1601,"48.24 [45.70, 50.73]","56.06 [53.49, 58.55]"
Overall,Heart,1-5 Years,1134,"44.64 [41.65, 47.59]","58.03 [54.90, 61.03]"
Overall,Heart,11-17 Years,1540,"35.08 [32.57, 37.60]","41.47 [38.78, 44.15]"
Overall,Heart,18-34,3567,"38.34 [36.65, 40.02]","42.84 [41.10, 44.56]"
Overall,Heart,35-49,9145,"40.34 [39.27, 41.41]","41.49 [40.43, 42.54]"
Overall,Heart,50-64,20609,"33.01 [32.32, 33.69]","32.20 [31.54, 32.86]"
Overall,Heart,6-10 Years,615,"40.61 [36.52, 44.66]","48.13 [43.82, 52.30]"
Overall,Heart,65+,3023,"24.89 [23.25, 26.56]","23.37 [21.84, 24.92]"
Overall,Heart,Not Reported,8,*,*
