Transplant Year,Organ,Age Group,N,Graft Survival Rate [95% CI],Patient Survival Rate [95% CI]
1988,Heart/Lung,1-5 Years,1,*,*
1988,Heart/Lung,11-17 Years,6,*,*
1988,Heart/Lung,18-34,31,"38.71 [22.01, 55.15]","38.71 [22.01, 55.15]"
1988,Heart/Lung,35-49,26,*,*
1988,Heart/Lung,50-64,6,*,*
1988,Heart/Lung,6-10 Years,3,*,*
1988,Heart,<1 Year,34,"50.00 [32.44, 65.26]","55.15 [36.92, 70.08]"
1988,Heart,1-5 Years,19,"78.95 [53.19, 91.53]","78.95 [53.19, 91.53]"
1988,Heart,11-17 Years,41,"70.73 [54.26, 82.19]","72.94 [56.47, 84.01]"
1988,Heart,18-34,182,"77.47 [70.68, 82.88]","80.43 [73.81, 85.53]"
1988,Heart,35-49,478,"73.16 [68.94, 76.90]","74.83 [70.67, 78.50]"
1988,Heart,50-64,836,"73.41 [70.27, 76.27]","74.57 [71.46, 77.39]"
1988,Heart,6-10 Years,18,"61.11 [35.32, 79.21]","61.11 [35.32, 79.21]"
1988,Heart,65+,24,"79.17 [56.98, 90.75]","79.17 [56.98, 90.75]"
1989,Heart/Lung,<1 Year,1,*,*
1989,Heart/Lung,1-5 Years,1,*,*
1989,Heart/Lung,11-17 Years,2,*,*
1989,Heart/Lung,18-34,29,"37.93 [20.87, 54.90]","41.09 [23.32, 58.08]"
1989,Heart/Lung,35-49,27,"40.74 [22.53, 58.21]","40.74 [22.53, 58.21]"
1989,Heart/Lung,50-64,4,*,*
1989,Heart/Lung,6-10 Years,3,*,*
1989,Heart,<1 Year,71,"57.39 [44.99, 67.97]","59.58 [47.01, 70.09]"
1989,Heart,1-5 Years,22,"90.91 [68.30, 97.65]","90.91 [68.30, 97.65]"
1989,Heart,11-17 Years,40,"75.00 [58.52, 85.69]","75.00 [58.52, 85.69]"
1989,Heart,18-34,172,"73.76 [66.49, 79.70]","74.75 [67.51, 80.61]"
1989,Heart,35-49,491,"76.05 [72.01, 79.59]","78.49 [74.55, 81.90]"
1989,Heart,50-64,805,"74.26 [71.10, 77.14]","75.52 [72.39, 78.35]"
1989,Heart,6-10 Years,16,"75.00 [46.34, 89.80]","75.00 [46.34, 89.80]"
1989,Heart,65+,41,"73.17 [56.81, 84.15]","73.17 [56.81, 84.15]"
1990,Heart/Lung,1-5 Years,3,*,*
1990,Heart/Lung,11-17 Years,2,*,*
1990,Heart/Lung,18-34,24,"58.33 [36.45, 74.99]","58.33 [36.45, 74.99]"
1990,Heart/Lung,35-49,19,"63.16 [37.90, 80.44]","63.16 [37.90, 80.44]"
1990,Heart/Lung,50-64,3,*,*
1990,Heart,<1 Year,86,"61.23 [50.01, 70.66]","61.98 [50.70, 71.40]"
1990,Heart,1-5 Years,50,"71.89 [57.19, 82.29]","71.89 [57.19, 82.29]"
1990,Heart,11-17 Years,58,"63.66 [49.89, 74.58]","68.46 [54.68, 78.84]"
1990,Heart,18-34,167,"77.65 [70.50, 83.27]","79.32 [72.28, 84.75]"
1990,Heart,35-49,570,"78.34 [74.72, 81.51]","79.67 [76.11, 82.76]"
1990,Heart,50-64,1022,"75.70 [72.95, 78.22]","77.15 [74.43, 79.62]"
1990,Heart,6-10 Years,22,"81.82 [58.53, 92.76]","86.12 [62.86, 95.31]"
1990,Heart,65+,70,"62.47 [49.97, 72.68]","61.43 [49.01, 71.68]"
1991,Heart/Lung,1-5 Years,2,*,*
1991,Heart/Lung,11-17 Years,6,*,*
1991,Heart/Lung,18-34,16,*,*
1991,Heart/Lung,35-49,18,*,*
1991,Heart/Lung,50-64,6,*,*
1991,Heart/Lung,6-10 Years,2,*,*
1991,Heart,<1 Year,123,"56.79 [47.41, 65.12]","59.49 [50.01, 67.76]"
1991,Heart,1-5 Years,52,"65.22 [50.61, 76.48]","70.86 [56.38, 81.31]"
1991,Heart,11-17 Years,59,"67.60 [54.02, 77.97]","72.91 [59.10, 82.71]"
1991,Heart,18-34,165,"73.33 [65.88, 79.41]","77.41 [70.09, 83.16]"
1991,Heart,35-49,533,"78.13 [74.37, 81.42]","79.85 [76.16, 83.04]"
1991,Heart,50-64,1033,"74.52 [71.75, 77.07]","75.72 [72.98, 78.23]"
1991,Heart,6-10 Years,20,"65.00 [40.30, 81.53]","65.00 [40.30, 81.53]"
1991,Heart,65+,73,"62.88 [50.71, 72.83]","61.64 [49.50, 71.69]"
1992,Heart/Lung,<1 Year,1,*,*
1992,Heart/Lung,1-5 Years,3,*,*
1992,Heart/Lung,11-17 Years,5,*,*
1992,Heart/Lung,18-34,18,*,*
1992,Heart/Lung,35-49,18,"55.56 [30.51, 74.75]","55.56 [30.51, 74.75]"
1992,Heart/Lung,50-64,2,*,*
1992,Heart/Lung,6-10 Years,1,*,*
1992,Heart,<1 Year,88,"66.44 [55.39, 75.35]","67.36 [56.29, 76.21]"
1992,Heart,1-5 Years,59,"69.49 [56.04, 79.55]","72.67 [59.31, 82.28]"
1992,Heart,11-17 Years,56,"76.56 [63.07, 85.66]","79.54 [66.08, 88.12]"
1992,Heart,18-34,164,"66.21 [58.38, 72.91]","69.36 [61.57, 75.89]"
1992,Heart,35-49,503,"78.24 [74.37, 81.61]","79.53 [75.71, 82.82]"
1992,Heart,50-64,1118,"73.66 [70.97, 76.14]","74.50 [71.83, 76.96]"
1992,Heart,6-10 Years,23,"65.22 [42.35, 80.84]","65.22 [42.35, 80.84]"
1992,Heart,65+,85,"65.88 [54.77, 74.88]","66.68 [55.51, 75.64]"
1992,Heart,Not Reported,1,*,*
1993,Heart/Lung,1-5 Years,7,*,*
1993,Heart/Lung,11-17 Years,7,*,*
1993,Heart/Lung,18-34,25,"60.00 [38.45, 76.11]","60.00 [38.45, 76.11]"
1993,Heart/Lung,35-49,13,*,*
1993,Heart/Lung,50-64,8,*,*
1993,Heart,<1 Year,106,"58.34 [48.34, 67.07]","59.74 [49.66, 68.45]"
1993,Heart,1-5 Years,51,"68.63 [53.99, 79.46]","72.29 [57.72, 82.57]"
1993,Heart,11-17 Years,73,"70.67 [58.62, 79.79]","73.25 [61.31, 82.04]"
1993,Heart,18-34,188,"72.08 [65.03, 77.95]","73.35 [66.32, 79.15]"
1993,Heart,35-49,516,"77.08 [73.20, 80.48]","77.77 [73.92, 81.13]"
1993,Heart,50-64,1140,"75.30 [72.68, 77.71]","76.54 [73.96, 78.91]"
1993,Heart,6-10 Years,31,"70.97 [51.62, 83.71]","70.97 [51.62, 83.71]"
1993,Heart,65+,103,"71.58 [61.74, 79.30]","71.84 [62.09, 79.50]"
1994,Heart/Lung,1-5 Years,5,*,*
1994,Heart/Lung,11-17 Years,7,*,*
1994,Heart/Lung,18-34,22,"77.01 [53.25, 89.73]","77.27 [53.74, 89.85]"
1994,Heart/Lung,35-49,28,"42.86 [24.57, 59.96]","42.86 [24.57, 59.96]"
1994,Heart/Lung,50-64,6,*,*
1994,Heart/Lung,6-10 Years,3,*,*
1994,Heart,<1 Year,86,"59.30 [48.17, 68.81]","60.95 [49.70, 70.43]"
1994,Heart,1-5 Years,61,"58.74 [45.32, 69.94]","61.25 [47.62, 72.33]"
1994,Heart,11-17 Years,68,"73.53 [61.33, 82.42]","74.68 [62.47, 83.43]"
1994,Heart,18-34,172,"78.92 [72.00, 84.32]","80.14 [73.34, 85.38]"
1994,Heart,35-49,521,"77.99 [74.17, 81.32]","78.86 [75.08, 82.14]"
1994,Heart,50-64,1229,"77.99 [75.56, 80.21]","78.69 [76.29, 80.89]"
1994,Heart,6-10 Years,36,"66.35 [48.38, 79.31]","66.35 [48.38, 79.31]"
1994,Heart,65+,94,"76.35 [66.33, 83.75]","78.36 [68.49, 85.46]"
1994,Heart,Not Reported,2,*,*
1995,Heart/Lung,<1 Year,2,*,*
1995,Heart/Lung,1-5 Years,1,*,*
1995,Heart/Lung,11-17 Years,7,*,*
1995,Heart/Lung,18-34,20,"59.23 [34.67, 77.18]","60.00 [35.73, 77.60]"
1995,Heart/Lung,35-49,29,"68.97 [48.83, 82.48]","68.97 [48.83, 82.48]"
1995,Heart/Lung,50-64,7,*,*
1995,Heart/Lung,6-10 Years,2,*,*
1995,Heart,<1 Year,88,"70.38 [59.64, 78.77]","71.39 [60.66, 79.68]"
1995,Heart,1-5 Years,56,"82.10 [69.29, 89.94]","85.48 [73.06, 92.46]"
1995,Heart,11-17 Years,74,"68.55 [56.54, 77.87]","68.60 [56.62, 77.91]"
1995,Heart,18-34,164,"80.23 [73.22, 85.59]","80.19 [73.16, 85.56]"
1995,Heart,35-49,509,"79.82 [76.04, 83.06]","80.48 [76.76, 83.68]"
1995,Heart,50-64,1217,"76.43 [73.93, 78.72]","76.83 [74.34, 79.10]"
1995,Heart,6-10 Years,34,"73.11 [54.65, 85.01]","78.61 [60.26, 89.20]"
1995,Heart,65+,138,"78.79 [70.93, 84.75]","78.99 [71.19, 84.89]"
1995,Heart,Not Reported,2,*,*
1996,Heart/Lung,1-5 Years,5,*,*
1996,Heart/Lung,11-17 Years,4,*,*
1996,Heart/Lung,18-34,11,*,*
1996,Heart/Lung,35-49,14,*,*
1996,Heart/Lung,50-64,2,*,*
1996,Heart/Lung,6-10 Years,1,*,*
1996,Heart,<1 Year,74,"78.10 [66.75, 85.97]","79.42 [68.19, 87.05]"
1996,Heart,1-5 Years,52,"61.23 [46.57, 72.99]","61.23 [46.57, 72.99]"
1996,Heart,11-17 Years,92,"80.08 [70.26, 86.95]","83.17 [73.64, 89.50]"
1996,Heart,18-34,171,"75.71 [68.50, 81.50]","76.68 [69.51, 82.38]"
1996,Heart,35-49,490,"76.62 [72.60, 80.13]","77.16 [73.16, 80.64]"
1996,Heart,50-64,1188,"78.08 [75.61, 80.34]","77.90 [75.42, 80.15]"
1996,Heart,6-10 Years,33,"81.41 [63.21, 91.19]","83.96 [65.66, 92.99]"
1996,Heart,65+,160,"71.61 [63.89, 77.96]","71.83 [64.17, 78.14]"
1997,Heart/Lung,1-5 Years,3,*,*
1997,Heart/Lung,18-34,21,"47.62 [25.71, 66.68]","47.62 [25.71, 66.68]"
1997,Heart/Lung,35-49,27,"40.74 [22.53, 58.21]","40.74 [22.53, 58.21]"
1997,Heart/Lung,50-64,9,*,*
1997,Heart/Lung,6-10 Years,2,*,*
1997,Heart,<1 Year,92,"68.28 [57.66, 76.76]","70.24 [59.66, 78.54]"
1997,Heart,1-5 Years,61,"76.61 [63.71, 85.43]","81.40 [68.91, 89.25]"
1997,Heart,11-17 Years,78,"73.88 [62.49, 82.29]","76.35 [65.10, 84.40]"
1997,Heart,18-34,171,"72.80 [65.41, 78.87]","73.40 [66.05, 79.41]"
1997,Heart,35-49,445,"80.97 [76.99, 84.34]","81.26 [77.30, 84.59]"
1997,Heart,50-64,1139,"77.96 [75.43, 80.27]","78.88 [76.38, 81.15]"
1997,Heart,6-10 Years,29,"86.07 [67.01, 94.53]","86.21 [67.31, 94.59]"
1997,Heart,65+,191,"71.61 [64.62, 77.46]","71.73 [64.77, 77.55]"
1997,Heart,Not Reported,1,*,*
1998,Heart/Lung,<1 Year,4,*,*
1998,Heart/Lung,1-5 Years,2,*,*
1998,Heart/Lung,11-17 Years,1,*,*
1998,Heart/Lung,18-34,12,*,*
1998,Heart/Lung,35-49,18,"66.67 [40.35, 83.43]","66.67 [40.35, 83.43]"
1998,Heart/Lung,50-64,7,*,*
1998,Heart,<1 Year,80,"74.31 [63.04, 82.61]","74.31 [63.04, 82.61]"
1998,Heart,1-5 Years,53,"80.74 [67.15, 89.14]","82.29 [68.72, 90.37]"
1998,Heart,11-17 Years,83,"79.50 [69.11, 86.72]","81.83 [71.67, 88.62]"
1998,Heart,18-34,156,"74.30 [66.67, 80.44]","74.82 [67.20, 80.92]"
1998,Heart,35-49,450,"80.57 [76.60, 83.95]","80.63 [76.67, 84.00]"
1998,Heart,50-64,1175,"78.76 [76.30, 81.00]","79.43 [76.99, 81.64]"
1998,Heart,6-10 Years,33,"72.73 [54.13, 84.77]","78.67 [60.39, 89.22]"
1998,Heart,65+,199,"71.40 [64.50, 77.19]","71.71 [64.87, 77.44]"
1998,Heart,Not Reported,1,*,*
1999,Heart/Lung,<1 Year,1,*,*
1999,Heart/Lung,1-5 Years,4,*,*
1999,Heart/Lung,11-17 Years,2,*,*
1999,Heart/Lung,18-34,11,*,*
1999,Heart/Lung,35-49,17,*,*
1999,Heart/Lung,50-64,11,*,*
1999,Heart/Lung,6-10 Years,2,*,*
1999,Heart,<1 Year,58,"72.10 [58.54, 81.89]","76.78 [63.34, 85.82]"
1999,Heart,1-5 Years,64,"73.28 [60.59, 82.47]","73.28 [60.59, 82.47]"
1999,Heart,11-17 Years,84,"77.38 [66.86, 84.93]","80.61 [70.31, 87.65]"
1999,Heart,18-34,166,"68.28 [60.55, 74.82]","70.09 [62.43, 76.48]"
1999,Heart,35-49,411,"80.47 [76.26, 84.02]","80.98 [76.80, 84.48]"
1999,Heart,50-64,1068,"77.31 [74.67, 79.71]","78.01 [75.39, 80.38]"
1999,Heart,6-10 Years,29,"86.21 [67.31, 94.59]","86.21 [67.31, 94.59]"
1999,Heart,65+,204,"76.94 [70.52, 82.13]","76.96 [70.55, 82.15]"
1999,Heart,Not Reported,1,*,*
2000,Heart/Lung,<1 Year,1,*,*
2000,Heart/Lung,1-5 Years,1,*,*
2000,Heart/Lung,11-17 Years,4,*,*
2000,Heart/Lung,18-34,13,"76.92 [44.21, 91.91]","76.92 [44.21, 91.91]"
2000,Heart/Lung,35-49,16,*,*
2000,Heart/Lung,50-64,9,*,*
2000,Heart/Lung,6-10 Years,2,*,*
2000,Heart,<1 Year,72,"76.27 [64.63, 84.53]","77.68 [66.18, 85.69]"
2000,Heart,1-5 Years,53,"86.51 [73.75, 93.33]","88.43 [76.02, 94.63]"
2000,Heart,11-17 Years,86,"84.48 [74.77, 90.68]","86.78 [77.38, 92.45]"
2000,Heart,18-34,154,"75.59 [67.93, 81.67]","75.14 [67.48, 81.24]"
2000,Heart,35-49,402,"79.54 [75.22, 83.20]","79.94 [75.66, 83.55]"
2000,Heart,50-64,1087,"79.10 [76.55, 81.41]","79.53 [77.00, 81.82]"
2000,Heart,6-10 Years,38,"89.02 [73.32, 95.74]","89.11 [73.52, 95.77]"
2000,Heart,65+,208,"75.91 [69.48, 81.16]","76.28 [69.87, 81.51]"
2001,Heart/Lung,1-5 Years,1,*,*
2001,Heart/Lung,11-17 Years,4,*,*
2001,Heart/Lung,18-34,5,*,*
2001,Heart/Lung,35-49,13,*,*
2001,Heart/Lung,50-64,3,*,*
2001,Heart/Lung,6-10 Years,1,*,*
2001,Heart,<1 Year,64,"74.78 [62.16, 83.73]","74.78 [62.16, 83.73]"
2001,Heart,1-5 Years,81,"74.74 [63.62, 82.91]","75.84 [64.75, 83.86]"
2001,Heart,11-17 Years,84,"73.68 [62.83, 81.81]","75.69 [64.89, 83.58]"
2001,Heart,18-34,178,"73.74 [66.55, 79.62]","75.92 [68.84, 81.60]"
2001,Heart,35-49,441,"81.28 [77.30, 84.63]","81.53 [77.57, 84.86]"
2001,Heart,50-64,1030,"79.88 [77.29, 82.21]","80.40 [77.83, 82.70]"
2001,Heart,6-10 Years,25,"92.00 [71.64, 97.94]","92.00 [71.64, 97.94]"
2001,Heart,65+,204,"70.89 [64.11, 76.63]","71.08 [64.33, 76.78]"
2002,Heart/Lung,<1 Year,1,*,*
2002,Heart/Lung,11-17 Years,5,*,*
2002,Heart/Lung,18-34,9,*,*
2002,Heart/Lung,35-49,8,*,*
2002,Heart/Lung,50-64,9,*,*
2002,Heart,<1 Year,70,"85.55 [74.81, 91.96]","88.24 [77.84, 93.94]"
2002,Heart,1-5 Years,74,"77.03 [65.68, 85.04]","78.11 [66.78, 85.97]"
2002,Heart,11-17 Years,88,"74.56 [63.97, 82.45]","75.92 [65.50, 83.58]"
2002,Heart,18-34,186,"77.21 [70.45, 82.62]","79.66 [73.05, 84.83]"
2002,Heart,35-49,384,"81.95 [77.71, 85.46]","82.45 [78.25, 85.92]"
2002,Heart,50-64,994,"79.93 [77.29, 82.30]","80.40 [77.78, 82.74]"
2002,Heart,6-10 Years,36,"75.00 [57.46, 86.13]","75.00 [57.46, 86.13]"
2002,Heart,65+,214,"75.68 [69.35, 80.88]","76.43 [70.12, 81.58]"
2003,Heart/Lung,11-17 Years,4,*,*
2003,Heart/Lung,18-34,6,*,*
2003,Heart/Lung,35-49,14,*,*
2003,Heart/Lung,50-64,1,*,*
2003,Heart/Lung,6-10 Years,1,*,*
2003,Heart,<1 Year,81,"67.59 [56.17, 76.65]","66.67 [55.28, 75.78]"
2003,Heart,1-5 Years,45,"82.11 [67.38, 90.62]","82.11 [67.38, 90.62]"
2003,Heart,11-17 Years,91,"76.89 [66.80, 84.27]","79.83 [69.90, 86.79]"
2003,Heart,18-34,181,"75.49 [68.51, 81.14]","75.96 [69.00, 81.57]"
2003,Heart,35-49,413,"78.73 [74.44, 82.39]","78.94 [74.65, 82.59]"
2003,Heart,50-64,937,"80.67 [77.99, 83.07]","81.77 [79.13, 84.11]"
2003,Heart,6-10 Years,45,"84.18 [69.65, 92.13]","88.73 [75.01, 95.15]"
2003,Heart,65+,168,"76.68 [69.50, 82.38]","76.76 [69.61, 82.45]"
2004,Heart/Lung,1-5 Years,2,*,*
2004,Heart/Lung,11-17 Years,3,*,*
2004,Heart/Lung,18-34,12,*,*
2004,Heart/Lung,35-49,13,*,*
2004,Heart/Lung,50-64,7,*,*
2004,Heart/Lung,6-10 Years,1,*,*
2004,Heart,<1 Year,71,"74.65 [62.82, 83.20]","74.65 [62.82, 83.20]"
2004,Heart,1-5 Years,71,"77.37 [65.74, 85.47]","81.23 [69.85, 88.65]"
2004,Heart,11-17 Years,87,"84.21 [74.35, 90.51]","86.73 [77.30, 92.43]"
2004,Heart,18-34,194,"70.51 [63.53, 76.41]","73.21 [66.31, 78.93]"
2004,Heart,35-49,376,"79.06 [74.57, 82.86]","79.54 [75.07, 83.30]"
2004,Heart,50-64,878,"82.24 [79.53, 84.62]","82.75 [80.08, 85.10]"
2004,Heart,6-10 Years,39,"84.62 [68.92, 92.78]","84.62 [68.92, 92.78]"
2004,Heart,65+,176,"78.39 [71.54, 83.78]","80.04 [73.32, 85.24]"
2005,Heart/Lung,11-17 Years,4,*,*
2005,Heart/Lung,18-34,13,*,*
2005,Heart/Lung,35-49,10,*,*
2005,Heart/Lung,50-64,7,*,*
2005,Heart,<1 Year,81,"74.07 [63.06, 82.25]","74.07 [63.06, 82.25]"
2005,Heart,1-5 Years,66,"75.50 [63.15, 84.22]","78.23 [66.01, 86.49]"
2005,Heart,11-17 Years,100,"78.39 [68.80, 85.35]","78.37 [68.77, 85.33]"
2005,Heart,18-34,223,"73.56 [67.19, 78.89]","73.96 [67.60, 79.26]"
2005,Heart,35-49,381,"84.03 [79.91, 87.37]","84.81 [80.76, 88.07]"
2005,Heart,50-64,888,"82.17 [79.48, 84.55]","82.82 [80.16, 85.16]"
2005,Heart,6-10 Years,35,"91.07 [74.79, 97.03]","91.07 [74.79, 97.03]"
2005,Heart,65+,200,"79.19 [72.82, 84.23]","79.89 [73.62, 84.83]"
2006,Heart/Lung,<1 Year,3,*,*
2006,Heart/Lung,1-5 Years,1,*,*
2006,Heart/Lung,11-17 Years,3,*,*
2006,Heart/Lung,18-34,3,*,*
2006,Heart/Lung,35-49,15,*,*
2006,Heart/Lung,50-64,6,*,*
2006,Heart,<1 Year,89,"70.48 [59.74, 78.85]","71.60 [60.92, 79.83]"
2006,Heart,1-5 Years,71,"87.23 [76.90, 93.15]","88.69 [78.65, 94.18]"
2006,Heart,11-17 Years,99,"84.28 [75.27, 90.21]","87.58 [79.16, 92.75]"
2006,Heart,18-34,212,"78.42 [72.20, 83.42]","79.47 [73.34, 84.34]"
2006,Heart,35-49,411,"79.85 [75.62, 83.44]","81.66 [77.53, 85.11]"
2006,Heart,50-64,917,"80.27 [77.53, 82.71]","80.50 [77.78, 82.93]"
2006,Heart,6-10 Years,36,"91.43 [75.73, 97.15]","91.43 [75.73, 97.15]"
2006,Heart,65+,236,"78.63 [72.80, 83.36]","78.73 [72.93, 83.43]"
2007,Heart/Lung,<1 Year,1,*,*
2007,Heart/Lung,1-5 Years,1,*,*
2007,Heart/Lung,11-17 Years,1,*,*
2007,Heart/Lung,18-34,9,*,*
2007,Heart/Lung,35-49,14,"71.43 [40.63, 88.19]","71.43 [40.63, 88.19]"
2007,Heart/Lung,50-64,5,*,*
2007,Heart,<1 Year,87,"75.74 [65.25, 83.45]","75.74 [65.25, 83.45]"
2007,Heart,1-5 Years,73,"86.05 [75.61, 92.24]","88.73 [78.72, 94.20]"
2007,Heart,11-17 Years,99,"84.61 [75.77, 90.42]","87.28 [78.69, 92.57]"
2007,Heart,18-34,201,"71.51 [64.71, 77.24]","72.39 [65.62, 78.06]"
2007,Heart,35-49,420,"81.57 [77.51, 84.97]","81.79 [77.74, 85.17]"
2007,Heart,50-64,908,"83.93 [81.37, 86.17]","84.47 [81.93, 86.67]"
2007,Heart,6-10 Years,37,"97.30 [82.32, 99.61]","97.30 [82.32, 99.61]"
2007,Heart,65+,235,"81.62 [76.03, 86.03]","81.24 [75.63, 85.68]"
2008,Heart/Lung,1-5 Years,2,*,*
2008,Heart/Lung,11-17 Years,3,*,*
2008,Heart/Lung,18-34,8,*,*
2008,Heart/Lung,35-49,7,*,*
2008,Heart/Lung,50-64,5,*,*
2008,Heart/Lung,6-10 Years,1,*,*
2008,Heart,<1 Year,99,"70.55 [60.47, 78.51]","72.24 [62.18, 80.05]"
2008,Heart,1-5 Years,101,"86.58 [78.00, 91.98]","88.53 [80.24, 93.49]"
2008,Heart,11-17 Years,92,"79.00 [69.06, 86.06]","79.93 [70.04, 86.85]"
2008,Heart,18-34,184,"80.72 [74.19, 85.76]","80.78 [74.26, 85.80]"
2008,Heart,35-49,382,"84.42 [80.36, 87.71]","85.69 [81.74, 88.85]"
2008,Heart,50-64,859,"83.43 [80.76, 85.75]","83.76 [81.12, 86.07]"
2008,Heart,6-10 Years,53,"86.79 [74.28, 93.47]","92.15 [80.42, 96.98]"
2008,Heart,65+,243,"78.56 [72.84, 83.22]","78.17 [72.42, 82.86]"
2009,Heart/Lung,1-5 Years,1,*,*
2009,Heart/Lung,11-17 Years,1,*,*
2009,Heart/Lung,18-34,9,*,*
2009,Heart/Lung,35-49,11,*,*
2009,Heart/Lung,50-64,4,*,*
2009,Heart/Lung,6-10 Years,1,*,*
2009,Heart,<1 Year,116,"80.14 [71.64, 86.33]","80.14 [71.64, 86.33]"
2009,Heart,1-5 Years,76,"75.84 [64.41, 84.03]","77.10 [65.76, 85.10]"
2009,Heart,11-17 Years,98,"86.49 [77.87, 91.93]","88.36 [79.96, 93.39]"
2009,Heart,18-34,181,"77.56 [70.70, 83.01]","77.62 [70.77, 83.06]"
2009,Heart,35-49,365,"83.72 [79.49, 87.14]","84.81 [80.68, 88.12]"
2009,Heart,50-64,911,"82.94 [80.34, 85.24]","83.55 [80.97, 85.81]"
2009,Heart,6-10 Years,44,"90.91 [77.57, 96.49]","93.18 [80.33, 97.75]"
2009,Heart,65+,272,"80.44 [75.20, 84.69]","80.45 [75.21, 84.70]"
2010,Heart/Lung,1-5 Years,1,*,*
2010,Heart/Lung,18-34,14,*,*
2010,Heart/Lung,35-49,10,*,*
2010,Heart/Lung,50-64,15,"73.33 [43.62, 89.05]","73.33 [43.62, 89.05]"
2010,Heart,<1 Year,104,"85.58 [77.22, 91.04]","86.43 [78.17, 91.73]"
2010,Heart,1-5 Years,74,"78.16 [66.84, 86.01]","82.10 [71.17, 89.20]"
