,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Recipient Ages,,"27,340",265,810,820,827,872,835,789,798,719,709,762,801,795,828,854,837,864,924,903,881,871,906,891,915,941,972,852,861,919,748,661,493,452,459,335,171
< 1 Year,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1-5 Years,,23,0,0,0,2,2,0,0,2,0,0,0,0,1,2,4,1,2,1,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0
6-10 Years,,18,0,1,1,1,0,1,1,1,0,1,1,1,2,1,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11-17 Years,,25,0,1,0,2,1,0,1,0,0,0,1,2,1,1,0,0,1,1,5,0,0,1,0,0,1,1,0,0,2,1,0,0,0,2,0,0
18-34 Years,,"7,432",61,185,175,198,202,177,179,188,188,169,184,169,168,183,171,177,180,175,217,196,232,220,246,232,251,303,301,294,332,295,280,220,203,219,177,85
35-49 Years,,"15,349",126,410,408,426,456,464,434,427,390,370,414,460,445,471,496,477,503,565,546,520,506,541,506,557,592,581,493,519,531,416,354,250,233,224,154,84
50-64 Years,,"4,422",73,211,233,191,207,185,168,177,140,169,159,169,177,167,180,180,175,177,132,164,129,141,139,124,94,86,55,46,54,36,25,23,16,14,4,2
65 +,,63,5,2,3,7,4,8,6,3,1,0,3,0,1,3,2,1,2,4,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
