,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Recipient Ages,,"204,150","3,410","9,528","9,236","8,906","8,896","8,250","8,082","7,841","7,127","6,730","6,455","6,256","6,342","6,291","6,320","6,319","6,494","6,651","6,444","6,171","5,673","5,332","5,195","5,001","4,757","4,519","4,189","4,087","3,934","3,652","3,440","3,064","2,953","2,690","2,202","1,713"
< 1 Year,,"5,322",39,145,139,139,155,154,133,152,124,139,138,149,151,162,167,186,189,168,168,161,157,152,169,175,188,178,169,154,114,157,118,135,145,144,122,87
1-5 Years,,"7,221",68,170,186,166,205,214,249,223,251,197,215,191,196,200,236,237,219,204,210,206,197,212,208,202,172,182,211,195,198,230,220,192,198,191,200,170
6-10 Years,,"2,670",25,67,63,64,89,76,83,86,88,78,64,70,80,78,83,77,72,79,81,75,71,59,65,90,80,105,73,74,84,72,85,64,70,69,61,70
11-17 Years,,"4,047",39,144,113,133,102,119,134,112,117,116,117,115,109,120,86,113,125,126,110,138,121,132,160,122,113,126,119,111,110,94,99,104,88,108,71,81
18-34 Years,,"13,681",255,674,696,606,572,503,478,459,408,392,335,303,349,352,352,327,385,382,390,362,336,305,337,293,301,309,341,286,315,326,310,342,332,353,323,292
35-49 Years,,"47,129",737,"2,049","1,940","1,751","1,579","1,375","1,308","1,228","1,072",927,976,970,983,"1,020","1,092","1,163","1,316","1,457","1,510","1,585","1,580","1,676","1,580","1,710","1,731","1,593","1,539","1,511","1,467","1,314","1,179","1,054",971,910,739,537
50-64 Years,,"97,455","1,538","4,306","4,145","4,055","4,274","4,014","4,023","4,118","3,827","3,826","3,645","3,623","3,728","3,643","3,606","3,595","3,540","3,606","3,344","3,078","2,740","2,433","2,336","2,049","1,853","1,704","1,471","1,482","1,400","1,269","1,248","1,018","1,006",825,640,447
65 +,,"26,625",709,"1,973","1,954","1,992","1,920","1,795","1,674","1,463","1,240","1,055",965,835,746,716,698,621,648,629,631,566,471,363,340,360,319,322,266,274,246,190,181,155,143,90,46,29
