,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Recipient Ages,,"49,759",958,"2,692","2,524","2,539","2,714","2,530","2,449","2,327","2,057","1,925","1,923","1,754","1,822","1,769","1,661","1,478","1,468","1,405","1,406","1,172","1,085","1,042","1,059",959,893,869,932,815,872,724,667,535,405,203,93,33
< 1 Year,,124,1,1,5,7,4,2,3,3,1,4,3,4,3,8,2,3,4,4,3,4,4,3,2,3,4,7,6,7,9,5,2,0,2,0,1,0
1-5 Years,,152,0,3,2,3,4,1,4,5,6,6,7,4,5,7,5,3,6,6,8,1,3,5,3,3,3,10,7,3,8,3,5,6,5,2,0,0
6-10 Years,,232,2,1,4,3,5,7,5,6,9,5,13,2,9,9,8,3,5,10,7,9,8,8,6,10,10,10,13,7,8,6,7,9,6,1,1,0
11-17 Years,,959,9,13,12,19,37,25,32,24,25,30,39,22,26,31,47,36,37,35,36,40,32,28,28,35,29,35,35,31,42,17,22,22,20,6,1,1
18-34 Years,,"5,381",52,121,131,134,220,225,238,241,206,191,191,202,216,199,186,167,185,186,158,177,140,144,133,130,126,134,147,131,152,134,124,97,92,45,21,5
35-49 Years,,"7,738",111,290,283,245,323,302,263,263,248,233,215,218,223,275,233,213,218,227,254,210,215,235,236,237,200,212,247,207,242,199,196,185,148,80,37,15
50-64 Years,,"23,700",416,"1,154","1,155","1,147","1,160","1,083","1,085","1,097",969,902,907,820,860,802,812,781,790,773,808,650,604,572,615,511,481,431,435,403,389,341,298,210,129,66,32,12
65 +,,"11,473",367,"1,109",932,981,961,885,819,688,593,554,548,482,480,438,368,272,223,164,132,81,79,47,36,30,40,30,42,26,22,19,13,6,3,3,0,0
